ProductID,Segment_ID,Segment,Segment_Label
AAA-566-EQ4,0,Segment 1,📊 Steady Performers
AAA-894-HM9,0,Segment 1,📊 Steady Performers
AAA-930-HY0,0,Segment 1,📊 Steady Performers
AAB-404-SJ3,0,Segment 1,📊 Steady Performers
AAB-632-DK3,0,Segment 1,📊 Steady Performers
AAC-489-NY9,0,Segment 1,📊 Steady Performers
AAC-885-MP2,0,Segment 1,📊 Steady Performers
AAD-023-HJ1,0,Segment 1,📊 Steady Performers
AAD-848-DD8,0,Segment 1,📊 Steady Performers
AAD-944-SM9,0,Segment 1,📊 Steady Performers
AAE-549-HJ0,0,Segment 1,📊 Steady Performers
AAE-570-HD8,0,Segment 1,📊 Steady Performers
AAE-695-HR9,0,Segment 1,📊 Steady Performers
AAE-981-NA8,0,Segment 1,📊 Steady Performers
AAF-025-YX2,0,Segment 1,📊 Steady Performers
AAF-202-TW9,0,Segment 1,📊 Steady Performers
AAF-387-KG3,0,Segment 1,📊 Steady Performers
AAF-565-BG8,0,Segment 1,📊 Steady Performers
AAH-027-WN9,0,Segment 1,📊 Steady Performers
AAH-212-SZ2,0,Segment 1,📊 Steady Performers
AAH-345-LH1,0,Segment 1,📊 Steady Performers
AAH-378-LE5,0,Segment 1,📊 Steady Performers
AAH-669-MR9,0,Segment 1,📊 Steady Performers
AAH-785-ZN4,0,Segment 1,📊 Steady Performers
AAI-057-ZA8,0,Segment 1,📊 Steady Performers
AAI-395-JC4,0,Segment 1,📊 Steady Performers
AAI-414-AA9,0,Segment 1,📊 Steady Performers
AAI-631-VO7,0,Segment 1,📊 Steady Performers
AAJ-269-OS9,0,Segment 1,📊 Steady Performers
AAJ-722-WI9,0,Segment 1,📊 Steady Performers
AAK-274-TG3,0,Segment 1,📊 Steady Performers
AAM-009-QH5,0,Segment 1,📊 Steady Performers
AAM-479-VK5,0,Segment 1,📊 Steady Performers
AAN-154-ED0,0,Segment 1,📊 Steady Performers
AAN-324-YS1,0,Segment 1,📊 Steady Performers
AAN-833-WM2,0,Segment 1,📊 Steady Performers
AAO-196-LP7,0,Segment 1,📊 Steady Performers
AAO-304-QI1,0,Segment 1,📊 Steady Performers
AAP-664-OY2,0,Segment 1,📊 Steady Performers
AAP-679-DT3,0,Segment 1,📊 Steady Performers
AAQ-505-NH9,0,Segment 1,📊 Steady Performers
AAQ-617-WQ7,0,Segment 1,📊 Steady Performers
AAQ-637-LD7,0,Segment 1,📊 Steady Performers
AAQ-774-PE5,0,Segment 1,📊 Steady Performers
AAR-141-XR1,0,Segment 1,📊 Steady Performers
AAR-445-KP1,0,Segment 1,📊 Steady Performers
AAR-592-XY6,0,Segment 1,📊 Steady Performers
AAR-706-UR7,0,Segment 1,📊 Steady Performers
AAS-273-AT4,0,Segment 1,📊 Steady Performers
AAS-635-KA3,0,Segment 1,📊 Steady Performers
AAS-983-OQ9,0,Segment 1,📊 Steady Performers
AAT-130-CC4,0,Segment 1,📊 Steady Performers
AAT-157-DX4,0,Segment 1,📊 Steady Performers
AAT-746-ZD4,0,Segment 1,📊 Steady Performers
AAU-310-RH2,0,Segment 1,📊 Steady Performers
AAU-532-KR5,0,Segment 1,📊 Steady Performers
AAV-028-JY6,0,Segment 1,📊 Steady Performers
AAV-179-AS3,0,Segment 1,📊 Steady Performers
AAV-908-XD1,0,Segment 1,📊 Steady Performers
AAX-347-NJ7,0,Segment 1,📊 Steady Performers
AAY-250-VW6,0,Segment 1,📊 Steady Performers
AAY-621-TG1,0,Segment 1,📊 Steady Performers
AAY-628-ZL1,0,Segment 1,📊 Steady Performers
AAY-835-EB1,0,Segment 1,📊 Steady Performers
AAY-883-QB5,0,Segment 1,📊 Steady Performers
AAZ-630-JU1,0,Segment 1,📊 Steady Performers
ABA-404-EI3,0,Segment 1,📊 Steady Performers
ABC-343-IB4,0,Segment 1,📊 Steady Performers
ABC-741-QO2,0,Segment 1,📊 Steady Performers
ABD-015-EU2,0,Segment 1,📊 Steady Performers
ABE-236-SY1,0,Segment 1,📊 Steady Performers
ABE-570-UF4,0,Segment 1,📊 Steady Performers
ABE-604-LC0,0,Segment 1,📊 Steady Performers
ABE-631-CD1,0,Segment 1,📊 Steady Performers
ABF-355-JQ4,0,Segment 1,📊 Steady Performers
ABF-645-SA8,0,Segment 1,📊 Steady Performers
ABF-809-TD6,0,Segment 1,📊 Steady Performers
ABG-526-TS1,0,Segment 1,📊 Steady Performers
ABH-256-QP8,0,Segment 1,📊 Steady Performers
ABH-278-PX5,0,Segment 1,📊 Steady Performers
ABH-959-WR8,0,Segment 1,📊 Steady Performers
ABI-468-VD8,0,Segment 1,📊 Steady Performers
ABI-531-OV2,0,Segment 1,📊 Steady Performers
ABI-585-XP5,0,Segment 1,📊 Steady Performers
ABI-823-AE4,0,Segment 1,📊 Steady Performers
ABK-529-MO8,0,Segment 1,📊 Steady Performers
ABL-016-UF1,0,Segment 1,📊 Steady Performers
ABL-526-VN6,0,Segment 1,📊 Steady Performers
ABL-759-TA4,0,Segment 1,📊 Steady Performers
ABL-949-VJ0,0,Segment 1,📊 Steady Performers
ABM-069-TV4,0,Segment 1,📊 Steady Performers
ABM-752-XC5,0,Segment 1,📊 Steady Performers
ABN-153-LL7,0,Segment 1,📊 Steady Performers
ABN-262-IV4,0,Segment 1,📊 Steady Performers
ABO-368-RI2,0,Segment 1,📊 Steady Performers
ABO-983-EN4,0,Segment 1,📊 Steady Performers
ABQ-277-YM5,0,Segment 1,📊 Steady Performers
ABQ-719-FL4,0,Segment 1,📊 Steady Performers
ABQ-836-DN4,0,Segment 1,📊 Steady Performers
ABR-770-KG8,0,Segment 1,📊 Steady Performers
ABS-460-CJ7,0,Segment 1,📊 Steady Performers
ABS-549-HA5,0,Segment 1,📊 Steady Performers
ABS-881-GC8,0,Segment 1,📊 Steady Performers
ABS-960-ZQ1,0,Segment 1,📊 Steady Performers
ABT-590-RJ6,0,Segment 1,📊 Steady Performers
ABT-639-KT5,0,Segment 1,📊 Steady Performers
ABT-784-OL6,0,Segment 1,📊 Steady Performers
ABU-650-GG0,0,Segment 1,📊 Steady Performers
ABV-973-AN1,0,Segment 1,📊 Steady Performers
ABW-223-UA1,0,Segment 1,📊 Steady Performers
ABW-501-EM2,0,Segment 1,📊 Steady Performers
ABW-773-DS7,0,Segment 1,📊 Steady Performers
ABY-481-FV7,0,Segment 1,📊 Steady Performers
ABY-582-GG3,0,Segment 1,📊 Steady Performers
ABY-929-DY4,0,Segment 1,📊 Steady Performers
ACA-923-BF2,0,Segment 1,📊 Steady Performers
ACB-236-AR6,0,Segment 1,📊 Steady Performers
ACB-673-XG6,0,Segment 1,📊 Steady Performers
